Age,Attrition,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
1.539654471883398,0,-0.3947199033499887,-0.890453374757123,-0.9619428857005051,1.4022613794361312,-0.6779815094369054,-1.1496334299359545,-0.9323174872438033,-1.3218375495264538,2.483398695905095,-0.9807211045880126,-0.6796735729879297,-1.1560352245054568,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.6494324508268717,1,0.0988348452531356,-1.86643303663449,-0.9619428857005051,-0.49158275760593073,-1.0783743631232288,2.126737730421329,0.24097809836858786,-0.6795626291386999,0.15647358853742746,-0.3280489380902267,-0.36956012058964693,-0.035356865170704944,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.5399781046913582,0,0.9625556553086032,1.0615059489976109,1.750562728932451,2.7201240185428057,-0.6779815094369054,-0.05750970981686008,2.58756926959337,-0.8080176132162508,-0.6191681139184618,-0.3280489380902267,-0.6796735729879297,-0.31552645500439297,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0.11674797212172258,0,-0.888274651953113,2.0374856108749775,0.8463941907214656,0.3850122882390114,0.1228041979357412,-1.1496334299359545,2.58756926959337,0.2196222594041555,1.7077569934492054,0.1614551867831127,1.4911205938000498,0.2448127246629831,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
-0.5399781046913582,0,0.0988348452531356,-1.86643303663449,-0.9619428857005051,-0.8834198945070945,0.5231970516220645,-0.876602499906181,1.4142736839809789,-0.29419767690604764,-0.6191681139184618,-0.16488089646578016,-0.6796735729879297,-0.035356865170704944,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
0.9923827412058304,0,-0.14794252904842645,0.08552628712024389,1.750562728932451,-0.5166162076082791,0.1228041979357412,-0.6035715698764076,-0.9323174872438033,2.1464470205674173,1.7077569934492054,-0.0017128548413337331,1.4911205938000498,0.8051519043303589,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-0.9777954892334122,1,0.22222353240391682,-0.890453374757123,-0.057774347489519776,-0.1470545982515779,-0.2775886557505821,1.3076449403320074,0.24097809836858786,-0.8080176132162508,-0.6191681139184618,-1.143889146212459,-0.6796735729879297,-1.1560352245054568,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
-0.8683411430978986,0,1.0859443424593842,0.08552628712024389,-0.057774347489519776,-0.7134894415250522,-0.2775886557505821,1.8537068003915553,2.58756926959337,-0.1657426928284969,-0.6191681139184618,-1.143889146212459,-0.6796735729879297,-1.1560352245054568,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
-0.6494324508268717,0,-1.011663339103894,0.08552628712024389,0.8463941907214656,-0.9466399631570928,-1.0783743631232288,1.5806758703617818,-0.9323174872438033,-0.1657426928284969,-0.6191681139184618,0.3246232284075591,1.4911205938000498,1.085321494164047,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
-1.3061585276399525,0,-0.27133121619920747,1.0615059489976109,1.750562728932451,1.4760888421549208,-0.6779815094369054,-0.6035715698764076,0.24097809836858786,-0.6795626291386999,-0.6191681139184618,-0.16488089646578016,-0.36956012058964693,0.2448127246629831,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
